,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
76,5.8801,0.00016795,1550000.0,0,1.8483e-05,0.80473,1672.6,-0.6841,0,275310.0,524810.0,-491420.0,0,0,0,300.51,7.8636,0,,0.0055556,-0.0025444,0,0,803876.1324618348,0.9991254488516884
77,5.8166,0.00016683,1535500.0,0,1.8422e-05,0.81991,1682.1,-0.63459,0,274670.0,516890.0,-505560.0,0,0,0,299.21,7.8782,0,,0.0056287,-0.0024713,0,0,803813.9272113781,0.9990825459035737
78,5.7524,0.00016567,1520800.0,0,1.8359e-05,0.83521,1690.8,-0.58317,0,274050.0,508920.0,-519790.0,0,0,0,297.88,7.8927,0,,0.0057018,-0.0023982,0,0,803820.1879415134,0.9990391400830092
79,5.6876,0.00016447,1506000.0,0,1.8294e-05,0.85062,1698.8,-0.53,0,273440.0,500910.0,-534100.0,0,0,0,296.53,7.907,0,,0.0057749,-0.0023251,0,0,803809.9941301288,0.9989956755212469
80,5.6223,0.00016323,1491000.0,0,1.8229e-05,0.86615,1706.0,-0.47622,0,272840.0,492860.0,-548460.0,0,0,0,295.16,7.9211,0,,0.005848,-0.002252,0,0,803776.9309519717,0.9989521869209841
81,5.5565,0.00016195,1475900.0,0,1.8163e-05,0.88178,1712.4,-0.42242,0,272250.0,484800.0,-562860.0,0,0,0,293.77,7.935,0,,0.0059211,-0.0021789,0,0,803764.4290658196,0.9989086470811307
82,5.4901,0.00016063,1460600.0,0,1.8095e-05,0.89751,1718.0,-0.36867,0,271670.0,476710.0,-577300.0,0,0,0,292.36,7.9487,0,,0.0059942,-0.0021058,0,0,803733.617286385,0.9988651289207011
83,5.4233,0.00015928,1445200.0,0,1.8027e-05,0.91335,1722.8,-0.31439,0,271110.0,468610.0,-591770.0,0,0,0,290.93,7.9623,0,,0.0060673,-0.0020327,0,0,803712.3018911311,0.9988216217756808
84,5.356,0.00015789,1429600.0,0,1.7957e-05,0.9293,1726.8,-0.25909,0,270550.0,460480.0,-606280.0,0,0,0,289.48,7.9757,0,,0.0061404,-0.0019596,0,0,803659.6712575643,0.9987782079189278
85,5.2882,0.00015647,1413900.0,0,1.7886e-05,0.94537,1730.0,-0.20284,0,270000.0,452340.0,-620810.0,0,0,0,288.01,7.989,0,,0.0062135,-0.0018865,0,0,803603.8282400203,0.9987348757332949
86,5.22,0.00015501,1398000.0,0,1.7814e-05,0.96157,1732.4,-0.14612,0,269470.0,444190.0,-635380.0,0,0,0,286.51,8.0021,0,,0.0062866,-0.0018134,0,0,803637.2829813765,0.9986912193027118
87,5.1512,0.00015352,1382000.0,0,1.774e-05,0.97789,1734.1,-0.089361,0,268940.0,436020.0,-649970.0,0,0,0,285.0,8.0152,0,,0.0063597,-0.0017403,0,0,803537.1971460578,0.998648188906755
88,5.0821,0.00015199,1365800.0,0,1.7666e-05,0.99435,1734.9,-0.032867,0,268430.0,427850.0,-664560.0,0,0,0,283.46,8.028,0,,0.0064328,-0.0016672,0,0,803531.4730422493,0.998604881835567
89,5.0126,0.00015043,1349500.0,0,1.759e-05,1.0109,1734.9,0.024805,0,267920.0,419670.0,-679150.0,0,0,0,281.9,8.0407,0,,0.0065059,-0.0015941,0,0,803493.6837594312,0.9985618117382703
90,4.9427,0.00014884,1333000.0,0,1.7513e-05,1.0276,1734.1,0.08382,0,267430.0,411510.0,-693730.0,0,0,0,280.32,8.0533,0,,0.006579,-0.001521,0,0,803457.735146924,0.9985189202024348
91,4.8726,0.00014723,1316500.0,0,1.7434e-05,1.0445,1732.5,0.14368,0,266940.0,403360.0,-708290.0,0,0,0,278.72,8.0657,0,,0.0066521,-0.0014479,0,0,803372.0383170603,0.9984762773246096
92,4.8021,0.00014558,1299800.0,0,1.7355e-05,1.0614,1730.2,0.20368,0,266460.0,395210.0,-722840.0,0,0,0,277.1,8.078,0,,0.0067252,-0.0013748,0,0,803186.2860832745,0.9984339628339205
93,4.7314,0.00014391,1282900.0,0,1.7274e-05,1.0786,1727.0,0.26231,0,266000.0,387070.0,-737370.0,0,0,0,275.45,8.0903,0,,0.0067983,-0.0013017,0,0,802990.7421432713,0.9983915328417298
94,4.6603,0.0001422,1266000.0,0,1.7191e-05,1.0958,1723.1,0.32206,0,265540.0,378950.0,-751880.0,0,0,0,273.79,8.1028,0,,0.0068714,-0.0012286,0,0,802577.0695360929,0.9983498964725528
95,4.5888,0.00014048,1248800.0,0,1.7108e-05,1.1133,1718.3,0.38381,0,265100.0,370830.0,-766370.0,0,0,0,272.1,8.1155,0,,0.0069445,-0.0011555,0,0,802075.4505151976,0.9983082792317451
96,4.5169,0.00013872,1231600.0,0,1.7023e-05,1.1309,1712.8,0.44638,0,264670.0,362720.0,-780850.0,0,0,0,270.38,8.1288,0,,0.0070176,-0.0010824,0,0,801485.6919269399,0.9982666894619372
97,4.4445,0.00013695,1214100.0,0,1.6936e-05,1.1488,1706.4,0.50848,0,264270.0,354610.0,-795330.0,0,0,0,268.64,8.1427,0,,0.0070907,-0.0010093,0,0,800647.0112800698,0.9982256886183676
98,4.3718,0.00013515,1196600.0,0,1.6848e-05,1.1668,1699.2,0.56827,0,263880.0,346510.0,-809800.0,0,0,0,266.87,8.1574,0,,0.0071638,-0.0009362,0,0,799668.1796671205,0.9981848326527499
99,4.2988,0.00013333,1178900.0,0,1.6758e-05,1.1851,1691.3,0.62369,0,263520.0,338450.0,-824200.0,0,0,0,265.08,8.1728,0,,0.0072369,-0.0008631,0,0,798478.5228118023,0.9981444846553581
100,4.2259,0.0001315,1161100.0,0,1.6667e-05,1.2034,1682.6,0.67503,0,263170.0,330440.0,-838500.0,0,0,0,263.28,8.1888,0,,0.00731,-0.00079,0,0,796994.2539699252,0.9981051016767194
101,4.1532,0.00012966,1143400.0,0,1.6575e-05,1.2219,1673.3,0.72326,0,262830.0,322510.0,-852660.0,0,0,0,261.45,8.2054,0,,0.0073831,-0.0007169,0,0,795471.731188931,0.9980656223523683
102,4.0808,0.00012782,1125600.0,0,1.6482e-05,1.2405,1663.3,0.7689,0,262510.0,314660.0,-866680.0,0,0,0,259.62,8.2224,0,,0.0074562,-0.0006438,0,0,793585.5250091647,0.9980274691410426
103,4.0088,0.00012598,1108000.0,0,1.6389e-05,1.2592,1652.6,0.81242,0,262210.0,306910.0,-880520.0,0,0,0,257.77,8.24,0,,0.0075293,-0.0005707,0,0,791591.4189757747,0.997989606690097
104,3.9372,0.00012414,1090300.0,0,1.6294e-05,1.278,1641.4,0.85449,0,261910.0,299260.0,-894180.0,0,0,0,255.92,8.258,0,,0.0076024,-0.0004976,0,0,789266.817476216,0.9979529865746062
105,3.8661,0.0001223,1072800.0,0,1.6199e-05,1.2969,1629.6,0.89554,0,261630.0,291720.0,-907640.0,0,0,0,254.06,8.2766,0,,0.0076755,-0.0004245,0,0,786741.0275526867,0.9979170831143952
106,3.7955,0.00012047,1055300.0,0,1.6103e-05,1.3158,1617.2,0.93496,0,261360.0,284290.0,-920920.0,0,0,0,252.19,8.2957,0,,0.0077486,-0.0003514,0,0,784026.1588031532,0.9978819006218599
107,3.7255,0.00011865,1037900.0,0,1.6007e-05,1.3348,1604.3,0.97289,0,261100.0,276970.0,-933980.0,0,0,0,250.31,8.3155,0,,0.0078217,-0.0002783,0,0,781107.9015371058,0.9978474431184505
108,3.6562,0.00011684,1020600.0,0,1.591e-05,1.3538,1590.9,1.0147,0,260830.0,269780.0,-946820.0,0,0,0,248.44,8.3351,0,,0.0078948,-0.0002052,0,0,777840.2955772608,0.9978145116534141
109,3.5879,0.00011506,1003500.0,0,1.5813e-05,1.3728,1577.1,1.0682,0,260470.0,262740.0,-959390.0,0,0,0,246.57,8.3526,0,,0.0079679,-0.0001321,0,0,774398.8110172761,0.9977824515254476
110,3.5205,0.0001133,986590.0,0,1.5715e-05,1.3919,1563.0,1.1134,0,260080.0,255840.0,-971710.0,0,0,0,244.69,8.3703,0,,0.008041,-5.9e-05,0,0,770855.9107815516,0.9977508326585081
